review_priority_rank,exercise_id,review_status,score,candidate_image_count,candidate_flags
1,Double_Leg_Butt_Kick,pending,308.424072,8,"['large_opaque_pale_region', 'near_duplicate_frames', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
2,Double_Kettlebell_Jerk,pending,302.966309,3,"['large_opaque_pale_region', 'near_duplicate_frames', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
3,Kipping_Muscle_Up,pending,290.0,7,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
4,Triceps_Overhead_Extension_with_Rope,pending,288.049316,4,"['large_opaque_pale_region', 'possible_edge_clipping', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
5,Bench_Dips,pending,287.91748,8,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
6,Double_Kettlebell_Push_Press,pending,283.979492,3,"['large_opaque_pale_region', 'near_duplicate_frames', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
7,Dumbbell_Clean,pending,283.161621,6,"['large_opaque_pale_region', 'near_duplicate_frames', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
8,Monster_Walk,pending,280.727539,7,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
9,Squat_with_Bands,pending,269.644775,6,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
10,One_Half_Locust,pending,268.526611,4,"['large_opaque_pale_region', 'near_duplicate_frames', 'possible_position_variation', 'possible_scale_variation', 'suspected_baked_checkerboard']"
11,Tate_Press,pending,266.640625,7,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
12,Drop_Push,pending,264.650879,8,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
13,Double_Kettlebell_Snatch,pending,264.443359,7,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
14,Cocoons,pending,264.150391,7,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
15,Kettlebell_Turkish_Get-Up_Lunge_style,pending,263.967285,8,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
16,Kettlebell_Turkish_Get-Up_Squat_style,pending,263.869629,8,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'small_canvas_occupancy', 'suspected_baked_checkerboard']"
17,Keg_Load,pending,262.929688,8,"['large_opaque_pale_region', 'possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation', 'suspected_baked_checkerboard']"
